epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,407.565,1.41876,1.24974,1.12544,0.76785,0.72096,0.75988,0.48022,1.17311,0.94897,1.02103,0.000270064,0.000270064,0.000270064
73,413.422,1.41516,1.20539,1.11363,0.71508,0.71077,0.76435,0.47268,1.16902,0.94694,1.0236,0.000261065,0.000261065,0.000261065
74,419.333,1.41626,1.26196,1.12334,0.75799,0.71088,0.76179,0.47499,1.17839,0.96511,1.02781,0.000252066,0.000252066,0.000252066
75,424.936,1.34298,1.19535,1.08977,0.79979,0.70071,0.76285,0.48322,1.13763,0.91636,1.0147,0.000243067,0.000243067,0.000243067
76,430.587,1.37906,1.19254,1.11692,0.77096,0.65259,0.75083,0.49001,1.15112,0.90055,1.01417,0.000234068,0.000234068,0.000234068
77,436.037,1.37067,1.19451,1.09751,0.72519,0.72113,0.76873,0.50498,1.12906,0.89191,1.0021,0.000225068,0.000225068,0.000225068
78,441.46,1.36057,1.17054,1.08041,0.75683,0.76944,0.8048,0.52235,1.12692,0.90072,1.00146,0.000216069,0.000216069,0.000216069
79,446.631,1.33421,1.18851,1.10197,0.79582,0.75213,0.80764,0.52942,1.09607,0.87616,0.99382,0.00020707,0.00020707,0.00020707
80,452.115,1.29172,1.13197,1.08647,0.76905,0.75978,0.81276,0.52082,1.12747,0.86983,1.00023,0.000198071,0.000198071,0.000198071
81,457.437,1.38432,1.19917,1.09843,0.78592,0.7886,0.81664,0.52249,1.12443,0.86213,1.00152,0.000189072,0.000189072,0.000189072
82,462.745,1.32684,1.1752,1.08788,0.72424,0.78638,0.81996,0.53539,1.09527,0.85656,0.99168,0.000180073,0.000180073,0.000180073
83,468.09,1.32018,1.10255,1.07269,0.78094,0.78093,0.81949,0.5396,1.07065,0.83156,0.98478,0.000171074,0.000171074,0.000171074
84,473.442,1.34386,1.14791,1.06513,0.80902,0.77209,0.82575,0.55123,1.06379,0.83459,0.98089,0.000162075,0.000162075,0.000162075
85,478.791,1.247,1.09036,1.05366,0.80716,0.77976,0.81802,0.54791,1.08674,0.84071,0.98948,0.000153076,0.000153076,0.000153076
86,484.039,1.28062,1.03574,1.0552,0.80599,0.77949,0.82286,0.54874,1.05165,0.81883,0.97668,0.000144077,0.000144077,0.000144077
87,489.314,1.26769,1.09572,1.06991,0.82449,0.78588,0.82215,0.55254,1.0628,0.83308,0.97606,0.000135077,0.000135077,0.000135077
88,494.651,1.34442,1.10066,1.08124,0.76988,0.78527,0.8216,0.55008,1.06553,0.84327,0.97694,0.000126078,0.000126078,0.000126078
89,499.96,1.2597,1.05678,1.03703,0.81106,0.77468,0.82695,0.5579,1.04538,0.81213,0.9725,0.000117079,0.000117079,0.000117079
90,505.35,1.28509,1.10727,1.05464,0.82984,0.75997,0.82824,0.55443,1.03412,0.78394,0.96591,0.00010808,0.00010808,0.00010808
